Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
2,02E+11;18;4;12;830;1;2;3;1;1;571;rue de la cavйe;M;5018992;349469;590
2,02E+11;18;4;14;1100;1;2;1;1;1;571;rue Jules guesdes;M;5018116;349098;590
2,02E+11;18;2;22;1135;1;1;6;1;7;126;D643;M;5030458;313370;590
2,02E+11;18;3;29;1316;1;1;1;1;7;228;Dйpartementale 65;M;5032874;309514;590
2,02E+11;18;3;30;2145;5;2;3;1;3;228;RD  25A;M;5033107;308070;590
2,02E+11;18;4;22;2230;5;2;1;1;6;115;Rue de l'abbaye;M;5026735;313908;590
2,02E+11;18;6;6;940;1;1;3;1;2;26;D643;M;5027155;316014;590
2,02E+11;18;6;6;1445;1;2;1;1;7;15;rue Jacques DUCLOS;M;5027761;310820;590
2,02E+11;18;6;16;1700;1;2;1;1;2;15;40 rue de la chaussйe;M;5027459;310067;590
2,02E+11;18;6;28;1120;1;1;6;1;3;126;rd 643;M;5031633;313323;590
2,02E+11;18;8;10;2100;2;1;1;1;7;336;rue d' Ecourt;M;5027267;303702;590
2,02E+11;18;11;22;2110;3;1;4;1;3;15;Rue Salvador Allendй;M;5028442;309557;590
2,02E+11;18;2;17;1715;1;2;2;1;6;330;26 rue d'orchies;M;5047622;329660;590
2,02E+11;18;2;22;651;2;1;1;9;5;29;D549;M;5048724;320071;590
2,02E+11;18;3;3;745;1;1;1;1;2;435;CD 938;M;5050184;326769;590
2,02E+11;18;4;16;1000;1;2;3;1;3;80;RUE FIEVET;M;5044808;325992;590
2,02E+11;18;5;5;1700;1;1;2;1;3;435;CD938;M;5049726;326542;590
2,02E+11;18;5;26;1020;1;2;1;1;5;449;CD 938;M;5047741;323912;590
2,02E+11;18;6;7;715;1;1;1;1;3;158;346 route nationale;M;5046114;321157;590
2,02E+11;18;6;8;1850;1;2;1;1;3;158;CD 938;M;5045404;320258;590
2,02E+11;18;6;14;2000;2;1;1;1;7;105;Rue du Fief;M;5043629;323379;590
2,02E+11;18;7;18;2220;5;2;1;1;1;330;rue du marechal leclerc;M;5047205;329625;590
2,02E+11;18;8;11;1130;1;1;1;1;7;330;chemin de terre;M;5046814;326546;590
2,02E+11;18;8;19;725;2;1;1;1;6;29;Rue des martyrs;M;5047841;321153;590
2,02E+11;18;9;5;815;1;2;1;1;6;222;route nationale;M;5046246;313692;590
2,02E+11;18;9;30;945;1;1;2;1;3;29;D549;M;5048156;320767;590
2,02E+11;18;10;7;1610;1;1;1;1;1;158;CD430 route de l'Houssoy;M;5046247;320254;590
2,02E+11;18;10;11;1630;1;2;1;1;3;435;rue du moulin;M;5050121;324525;590
2,02E+11;18;11;17;500;5;2;1;5;7;449;CD 938;M;5048337;325573;590
2,02E+11;18;11;28;830;1;2;1;2;1;29;Rue du noir dйbout;M;5047821;320902;590
2,02E+11;18;12;27;705;2;1;1;9;7;158;rue de faches;M;5045501;319328;590
2,02E+11;18;1;8;810;2;2;1;1;6;396;rue du carniau;M;5027105;381237;590
2,02E+11;18;3;1;1415;1;2;2;4;5;441;chaussйe brunйhaut;M;5027829;376508;590
2,02E+11;18;4;10;1500;1;1;1;1;7;370;rue de mons;M;5030491;397746;590
2,02E+11;18;4;17;1910;1;2;1;1;1;53;42 rue de la gare;M;5029791;378559;590
2,02E+11;18;6;3;1130;1;1;1;1;7;548;RD 649;M;5030747;374359;590
2,02E+11;18;8;12;1315;1;2;4;1;7;548;Route Nationale;M;5030276;375372;590
2,02E+11;18;9;2;10;4;1;2;1;3;441;chemin de roisin  CD154;M;5027313;377683;590
2,02E+11;18;1;12;1425;1;2;1;1;6;619;286 Rue Berlandois;M;5025591;366747;590
2,02E+11;18;3;7;1915;5;1;1;8;6;518;52 bis rue de Sepmeries;M;5026367;358011;590
2,02E+11;18;3;18;2145;4;1;1;1;6;353;Chaussйe Brunйhaut;M;5024378;371628;590
2,02E+11;18;4;26;1915;1;2;1;1;2;265;1012 rue du cheval blanc;M;5027426;370720;590
2,02E+11;18;8;19;1115;1;2;1;1;1;57;rue des marliиres;M;5023765;358103;590
2,02E+11;18;10;10;1612;1;2;2;1;6;481;Place de la gare;M;5024921;364528;590
2,02E+11;18;2;16;1624;1;1;1;1;2;867;Autoroute A.16;M;5078079;166890;620
2,02E+11;18;3;7;1848;2;1;1;1;2;503;Autoroute A16;M;5085870;173293;620
2,02E+11;18;6;13;2235;4;1;1;1;1;125;autoroute A 16 sens Boul;M;5079876;167390;620
2,02E+11;18;8;19;1355;1;1;1;6;7;560;A16;M;5081368;169462;620
2,02E+11;18;10;11;1230;1;1;1;1;7;751;Autoroute A16 - sens Bou;M;5087298;174959;620
2,02E+11;18;12;11;1851;3;1;1;1;2;758;Autoroute A.16  sens CAL;M;5072365;164825;620
2,02E+11;18;4;15;845;1;1;2;1;3;557;d341;M;5033086;271723;620
2,02E+11;18;4;15;1225;1;1;1;1;7;371;D55;M;5038960;278041;620
2,02E+11;18;4;24;1830;1;1;6;7;3;279;Intersection D56 & D339;M;5031739;268878;620
2,02E+11;18;8;4;1730;1;1;1;1;7;861;Chemin d'Avion;M;5038573;282154;620
2,02E+11;18;8;26;630;2;1;2;1;3;589;Dйpartementale 931;M;5034506;269426;620
2,02E+11;18;8;27;745;1;2;2;1;1;609;D937;M;5034511;269430;620
2,02E+11;18;9;19;1650;1;2;3;1;3;810;RUE DE VIMY;M;5036304;277335;620
2,02E+11;18;9;25;945;1;1;1;1;7;1;RD 57;M;5039367;268420;620
2,02E+11;18;10;11;1145;1;1;2;1;3;557;D341;M;5033070;271749;620
2,02E+11;18;11;25;625;3;1;6;5;3;810;Rond point de THELUS. RN;M;5035082;278761;620
2,02E+11;18;11;27;2210;5;2;1;3;6;324;54 rue mermoz;M;5036350;281973;620
2,02E+11;18;2;16;1525;1;1;1;7;1;355;RD950;M;5033286;291567;620
2,02E+11;18;2;16;1735;1;2;1;1;2;173;ROUTE DЙPARTEMENTALE 950;M;5033859;301421;620
2,02E+11;18;3;29;1215;1;2;3;1;6;865;rue renoir;M;5033143;298359;620
2,02E+11;18;9;27;1640;1;2;3;7;3;680;D39;M;5036272;297803;620
2,02E+11;18;10;29;2020;3;1;1;1;7;825;RD 43;M;5029194;302819;620
2,02E+11;18;3;2;1500;1;1;1;4;3;89;"RD 191 Lieu dit : ""GRAND";M;5083281;165962;620
2,02E+11;18;7;28;1830;1;2;1;1;3;711;rue jules guesde;M;5080625;174816;620
2,02E+11;18;8;5;1835;1;1;2;7;3;705;RD 232 / RD 243;M;5079692;176447;620
2,02E+11;18;10;21;1730;1;1;1;1;6;54;D940;M;5084546;160550;620
2,02E+11;18;10;22;730;2;2;1;2;1;560;Rue Jean Jaurиs;M;5080841;172187;620
2,02E+11;18;11;5;1730;5;2;1;1;6;560;122 avenue Ferber;M;5081537;170179;620
2,02E+11;18;11;10;1825;5;2;9;1;3;751;84 rue de haute ville;M;5086913;174127;620
2,02E+11;18;11;24;1530;1;2;1;2;6;711;18 rue henri barbusse;M;5081389;176108;620
2,02E+11;18;4;9;1335;1;1;1;1;1;604;D940;M;5061424;163384;620
2,02E+11;18;5;4;1010;1;1;1;1;6;235;RD 52;M;5066439;165320;620
2,02E+11;18;8;15;1615;1;2;1;1;2;474;RD 901;M;5068028;163903;620
2,02E+11;18;9;15;1145;1;2;2;1;3;604;avenue de l'yser;M;5063443;160076;620
2,02E+11;18;4;18;1750;1;2;1;1;2;170;94 rue de LUCHEUX;M;5043178;267311;620
2,02E+11;18;7;13;1925;1;2;1;1;1;832;14 route de zelucq;M;5051188;169315;620
2,02E+11;18;8;24;1600;1;2;1;1;7;201;rue de l'йglise D 148E6;M;5056189;161412;620
2,02E+11;18;8;11;1115;1;1;1;1;6;354;D113;M;5056715;169832;620
2,02E+11;18;9;29;1910;2;2;3;1;3;318;avenue du vieux moulin e;M;5052133;164722;620
2,02E+11;18;11;17;1430;1;2;6;1;6;318;avenue du blanc pavй;M;5052514;162896;620
2,02E+11;18;2;4;1722;1;2;6;1;2;14;rue des alliйs;M;5063717;239036;620
2,02E+11;18;3;7;725;2;2;4;3;1;811;GRAND RUE;M;5063380;226290;620
2,02E+11;18;4;5;1300;1;2;3;1;2;14;rue de bretagne;M;5063349;240901;620
2,02E+11;18;6;10;1800;1;1;1;1;5;543;D157;M;5063531;230577;620
2,02E+11;18;6;14;815;1;2;3;1;5;811;Grande rue;M;5063797;225655;620
2,02E+11;18;6;21;1450;1;2;1;1;6;684;D943;M;5069467;235561;620
