Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
2,018E+11;1;16;;;3;2;72;0;0;1;3;;;1;0;1;0
2,018E+11;1;16;;;3;4;245;800;0;2;1;;;1;0;1;0
2,018E+11;3;341;;;2;2;4;350;0;2;1;;;1;0;1;0
2,018E+11;3;55;;;2;2;14;37;0;1;2;;;1;0;1;0
2,018E+11;3;339;;;2;2;30;937;0;1;2;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;4;;;1;0;1;0
2,018E+11;3;341;;;2;2;6;783;0;2;1;;;1;0;1;0
2,018E+11;3;49;;;2;2;9;225;;;;;;;5;1;
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;57;;;2;2;5;0;0;1;4;;;1;0;3;0
2,018E+11;3;341;;;2;2;;;0;1;1;;;1;5;1;0
2,018E+11;2;17;;;2;4;36;900;0;1;1;;;1;0;1;0
2,018E+11;3;51;;;2;2;1;350;0;1;1;;;2;0;4;0
2,018E+11;3;950;;;3;2;11;300;0;1;1;;;1;0;1;0
2,018E+11;3;950;;;3;2;18;600;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;39;;;2;2;15;700;0;2;1;;;1;0;1;0
2,018E+11;3;43;;;2;2;0;2100;0;1;1;;;1;0;3;0
2,018E+11;3;191;;;2;2;53;800;0;2;1;;;7;0;1;0
2,018E+11;3;191;;;2;2;46;800;0;1;1;;;1;0;1;0
2,018E+11;3;232;;;2;2;11;50;0;1;1;;;1;5;1;0
2,018E+11;3;940;;;2;2;59;300;0;1;1;;;1;0;1;0
2,018E+11;3;191;;;2;2;48;600;0;1;1;;;2;0;1;0
2,018E+11;3;191;;;2;2;50;1090;0;2;1;;;1;0;1;0
2,018E+11;3;244;;E;2;2;19;140;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;2;;;2;0;3;0
2,018E+11;3;940;;;2;2;36;79;1;1;1;;;1;0;1;0
2,018E+11;3;52;;;2;2;15;600;0;3;1;;;1;0;3;0
2,018E+11;3;901;;;2;2;44;910;0;1;1;;;1;0;1;0
2,018E+11;4;;;;1;1;;;0;1;1;;;1;0;1;0
2,018E+11;3;75;;;2;2;28;500;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;148;;E;2;2;58;436;0;2;2;;;1;0;1;0
2,018E+11;3;113;;;2;2;32;520;0;1;2;;;1;0;3;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;940;;;1;1;0;24;0;1;3;;;1;0;1;0
2,018E+11;3;157;;;2;1;24;647;0;1;1;;;1;5;4;0
2,018E+11;3;157;;;2;2;;;0;1;2;;;2;5;1;0
2,018E+11;4;;;;1;2;;;0;1;3;;;1;0;1;0
2,018E+11;3;157;;;2;2;21;300;0;1;1;;;1;0;1;0
2,018E+11;3;190;;;2;2;9;1480;0;1;1;;;1;0;1;0
2,018E+11;3;943;;;2;2;60;450;2;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;4;;;;0;2;;;0;1;4;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;192;;;2;2;2;350;0;1;1;;;1;0;1;0
2,018E+11;6;;;;;;;;0;1;1;;;2;0;1;0
2,018E+11;3;194;;;2;2;1;290;0;1;1;;;2;2;3;0
2,018E+11;3;940;;D;1;1;20;850;0;1;2;;;5;5;1;0
2,018E+11;3;48;;;2;2;15;100;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;940;;;2;2;16;100;0;1;1;;;1;0;4;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;3;0
2,018E+11;3;102;;;2;2;11;850;0;1;1;;;1;0;1;0
2,018E+11;3;48;;;2;2;11;580;0;1;1;;;1;0;1;0
2,018E+11;4;7;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;940;;D;2;2;8;300;0;1;1;;;1;0;1;0
2,018E+11;3;48;;;2;2;17;670;0;1;2;;;1;0;4;0
2,018E+11;3;106;;;2;2;7;430;0;2;1;;;1;0;1;0
2,018E+11;3;929;;;2;2;28;0;0;1;2;0;0;2;0;1;99
2,018E+11;3;938;;;2;2;22;500;0;3;1;;;1;0;1;0
2,018E+11;6;;;;0;1;;;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;3;0
2,018E+11;3;929;;;2;2;33;200;0;1;1;;;1;0;1;0
2,018E+11;3;966;;;2;2;24;960;0;1;1;;;2;0;1;0
2,018E+11;3;1044;;;2;3;78;897;0;3;1;;;2;0;1;0
2,018E+11;3;1044;;;2;2;76;876;0;2;3;;;1;0;1;0
2,018E+11;3;513;;;2;2;2;775;0;1;3;;;1;0;3;0
2,018E+11;3;1044;;;2;3;77;705;0;2;1;;;1;0;1;0
2,018E+11;3;89;;;2;2;14;0;0;1;1;;;1;0;1;0
2,018E+11;3;25;;;2;2;17;233;0;1;2;;;2;0;1;0
2,018E+11;3;82;;;2;2;31;776;0;2;2;;;2;0;1;0
2,018E+11;3;86;;;2;2;20;12;0;1;3;;;1;0;3;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;3;0
2,018E+11;3;969;;;2;2;6;650;0;2;4;;;1;0;1;0
2,018E+11;3;933;;;2;2;2;600;0;1;1;;;1;0;1;0
2,018E+11;3;1003;;;2;3;8;872;0;1;1;;;1;5;1;0
2,018E+11;3;86;;;2;2;23;700;0;2;4;;;1;0;3;0
2,018E+11;3;861;;;2;2;4;14;0;2;1;;;1;0;1;0
2,018E+11;3;11;;;2;2;29;600;0;1;1;;;1;0;3;0
2,018E+11;3;1;;;2;2;107;100;0;1;1;;;1;0;3;0
2,018E+11;3;16;;;2;2;9;785;0;2;1;;;2;0;1;0
2,018E+11;3;15;;;2;2;27;139;0;2;1;;;1;0;1;0
2,018E+11;3;933;;;2;2;5;920;0;2;1;;;1;0;1;0
2,018E+11;3;363;;;2;2;2;2168;0;2;1;;;2;0;1;0
2,018E+11;3;363;;;;;2;1;;;;;;;;;
2,018E+11;4;;;;2;2;;;0;1;3;;;1;0;1;0
2,018E+11;3;1043;;;2;2;20;900;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;2;1;;;1;0;4;0
2,018E+11;3;753;;;2;2;58;300;0;1;1;;;1;0;1;0
2,018E+11;3;1043;;;2;2;24;519;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;4;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;981;;;2;2;1;620;0;1;1;;;1;0;1;0
2,018E+11;3;153;;;2;2;21;0;0;4;1;;;2;0;1;0
2,018E+11;3;915;;;2;2;6;0;0;1;1;;;2;0;1;0
2,018E+11;3;915;;;2;2;0;550;0;1;1;;;2;0;3;0
2,018E+11;3;153;;;2;2;8;847;0;1;1;;;1;0;3;0
2,018E+11;3;981;;D;2;2;6;500;0;1;1;;;2;0;1;0
2,018E+11;4;;;;2;2;;;0;3;2;;;2;0;3;0
2,018E+11;3;44;;;2;2;2;850;0;3;2;;;1;0;3;0
2,018E+11;3;1001;;;2;2;21;500;0;2;1;;;1;0;1;0
2,018E+11;3;1001;;;2;3;14;700;0;1;1;;;1;0;1;0
2,018E+11;3;1001;;;2;2;21;500;0;1;1;;;1;0;1;0
2,018E+11;3;1001;;;2;2;17;500;0;2;1;;;1;0;1;0
2,018E+11;3;125;;;4;2;17;800;0;1;1;;;1;0;1;0
2,018E+11;3;620;;;1;1;2;59;0;2;2;;;1;0;1;0
2,018E+11;3;1016;;;3;2;26;700;0;1;2;;;1;0;1;0
2,018E+11;3;137;;;2;2;21;500;3;1;1;;;1;0;1;0
2,018E+11;3;916;;A;2;2;31;23;0;1;1;;;9;0;1;0
2,018E+11;3;12;;;2;2;12;514;0;1;1;;;1;0;3;0
2,018E+11;3;89;;;2;2;3;100;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;2;3;;;1;0;1;0
2,018E+11;3;1001;;;1;1;25;630;0;1;2;;;1;0;4;0
2,018E+11;3;137;;;2;2;4;500;0;1;1;;;1;0;1;0
2,018E+11;4;;;;;;;;;;;;;;5;1;3
2,018E+11;3;137;;;2;2;13;900;0;1;1;;;1;0;1;0
2,018E+11;3;12;;;2;2;19;154;0;1;1;;;1;5;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;332;;;2;2;33;800;0;2;4;;;2;0;1;0
2,018E+11;3;200;;D;3;2;2;100;0;2;2;;;8;0;3;0
2,018E+11;3;26;;;2;2;15;450;0;1;1;;;1;0;1;0
2,018E+11;2;31;;;2;3;76;530;0;3;1;;;2;0;1;0
2,018E+11;3;653;;;2;2;22;150;0;1;1;;;2;0;1;0
2,018E+11;3;653;;;2;2;16;900;0;2;2;;;1;0;1;0
