Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
2,018E+11;0;7;0;0;2;6;1;B01
2,018E+11;0;7;0;0;2;1;1;C01
2,018E+11;1;7;0;0;2;1;17;A01
2,018E+11;1;7;0;0;2;3;10;B01
2,018E+11;1;7;0;0;2;3;9;A01
2,018E+11;1;33;0;0;2;2;1;B01
2,018E+11;0;31;0;7;0;1;1;A01
2,018E+11;1;2;0;1;0;1;1;A01
2,018E+11;2;21;0;0;0;3;15;B01
2,018E+11;0;31;0;0;9;1;0;A01
2,018E+11;0;7;0;0;0;2;0;A01
2,018E+11;0;31;0;14;0;0;0;A01
2,018E+11;1;33;0;0;9;1;1;A01
2,018E+11;0;1;0;0;2;1;19;B01
2,018E+11;0;7;0;15;2;3;13;A01
2,018E+11;0;7;0;0;2;3;1;B01
2,018E+11;0;99;0;0;2;3;0;A01
2,018E+11;0;2;0;0;2;3;0;B01
2,018E+11;2;7;0;13;0;0;1;A01
2,018E+11;0;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;1;13;A01
2,018E+11;0;7;0;0;0;2;1;A01
2,018E+11;0;7;0;13;9;4;10;A01
2,018E+11;0;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;1;15;A01
2,018E+11;0;7;0;0;2;1;23;C01
2,018E+11;0;33;0;11;0;0;17;A01
2,018E+11;0;7;0;0;2;2;1;B01
2,018E+11;0;33;0;1;2;1;1;A01
2,018E+11;2;33;0;3;0;0;0;A01
2,018E+11;0;33;0;1;0;8;14;A01
2,018E+11;1;7;0;7;0;5;19;A01
2,018E+11;1;7;0;6;0;2;1;B01
2,018E+11;1;7;0;0;1;2;17;A01
2,018E+11;2;7;0;1;0;1;1;A01
2,018E+11;1;7;0;0;1;2;1;A01
2,018E+11;0;21;0;0;2;6;4;A01
2,018E+11;0;1;0;0;2;6;5;B01
2,018E+11;0;31;0;0;2;2;1;B01
2,018E+11;0;7;0;0;2;3;1;A01
2,018E+11;2;7;0;0;1;1;1;A01
2,018E+11;2;15;0;0;2;1;2;B01
2,018E+11;2;10;0;3;0;4;2;A01
2,018E+11;1;15;0;0;0;4;1;A01
2,018E+11;1;7;0;0;2;1;2;B01
2,018E+11;1;7;0;3;2;1;5;A01
2,018E+11;1;10;0;3;2;6;1;B01
2,018E+11;1;33;0;0;0;4;2;A01
2,018E+11;1;7;0;10;0;3;2;A01
2,018E+11;2;10;0;0;0;2;2;A01
2,018E+11;2;15;0;0;0;6;2;B01
2,018E+11;2;7;0;0;2;1;1;A01
2,018E+11;1;7;0;8;2;8;1;B01
2,018E+11;1;33;0;0;0;2;1;A01
2,018E+11;1;33;0;0;2;1;1;A01
2,018E+11;2;7;0;0;2;8;15;B01
